time,epochTime,throughput(kbyts/sec),numofrequests(hits/sec),peaks
30/Apr/1998:22:06:59,893966819,108.265,10,
30/Apr/1998:22:07:00,893966820,59.362,19,
30/Apr/1998:22:07:01,893966821,99.913,17,
30/Apr/1998:22:07:02,893966822,47.631,18,
30/Apr/1998:22:07:03,893966823,25.486,7,
30/Apr/1998:22:07:04,893966824,27.519,17,
30/Apr/1998:22:07:05,893966825,1338.67,11,
30/Apr/1998:22:07:06,893966826,34.599,9,
30/Apr/1998:22:07:07,893966827,52.946,10,
30/Apr/1998:22:07:08,893966828,104.549,9,
30/Apr/1998:22:07:09,893966829,19.283,5,
30/Apr/1998:22:07:10,893966830,26.45,19,
30/Apr/1998:22:07:11,893966831,4.848,7,
30/Apr/1998:22:07:12,893966832,11.787,7,
30/Apr/1998:22:07:13,893966833,50.204,12,
30/Apr/1998:22:07:14,893966834,11.814,12,
30/Apr/1998:22:07:15,893966835,20.333,6,
30/Apr/1998:22:07:16,893966836,30.612,13,
30/Apr/1998:22:07:17,893966837,27.701,14,
30/Apr/1998:22:07:18,893966838,30.062,9,
30/Apr/1998:22:07:19,893966839,37.925,13,
30/Apr/1998:22:07:20,893966840,72.952,15,
30/Apr/1998:22:07:21,893966841,53.061,12,
30/Apr/1998:22:07:22,893966842,45.831,11,
30/Apr/1998:22:07:23,893966843,29.7,16,
30/Apr/1998:22:07:24,893966844,2.714,4,
30/Apr/1998:22:07:25,893966845,22.714,8,
30/Apr/1998:22:07:26,893966846,67.605,13,
30/Apr/1998:22:07:27,893966847,24.83,7,
30/Apr/1998:22:07:28,893966848,16.166,11,
30/Apr/1998:22:07:29,893966849,2.034,4,
30/Apr/1998:22:07:30,893966850,99.39,17,
30/Apr/1998:22:07:31,893966851,9.574,9,
30/Apr/1998:22:07:32,893966852,3.567,7,
30/Apr/1998:22:07:33,893966853,38.63,9,
30/Apr/1998:22:07:34,893966854,48.077,12,
30/Apr/1998:22:07:35,893966855,28.801,13,
30/Apr/1998:22:07:36,893966856,112.934,11,
30/Apr/1998:22:07:37,893966857,10.626,11,
30/Apr/1998:22:07:38,893966858,120.227,16,
30/Apr/1998:22:07:39,893966859,48.84,13,
30/Apr/1998:22:07:40,893966860,5.44,11,
30/Apr/1998:22:07:41,893966861,54.719,17,
30/Apr/1998:22:07:42,893966862,23.069,18,
30/Apr/1998:22:07:43,893966863,79.288,23,
30/Apr/1998:22:07:44,893966864,56.422,18,
30/Apr/1998:22:07:45,893966865,7.163,13,
30/Apr/1998:22:07:46,893966866,49.02,11,
30/Apr/1998:22:07:47,893966867,4.804,7,
30/Apr/1998:22:07:48,893966868,36.775,14,
30/Apr/1998:22:07:49,893966869,9.431,14,
30/Apr/1998:22:07:50,893966870,50.24,16,
30/Apr/1998:22:07:51,893966871,33.277,11,
30/Apr/1998:22:07:52,893966872,62.796,16,
30/Apr/1998:22:07:53,893966873,80.694,21,
30/Apr/1998:22:07:54,893966874,5.587,6,
30/Apr/1998:22:07:55,893966875,11.014,3,
30/Apr/1998:22:07:56,893966876,4.775,6,
30/Apr/1998:22:07:57,893966877,22.378,9,
30/Apr/1998:22:07:58,893966878,11.134,10,
30/Apr/1998:22:07:59,893966879,52.185,11,
30/Apr/1998:22:08:00,893966880,24.843,9,
30/Apr/1998:22:08:01,893966881,40.437,13,
30/Apr/1998:22:08:02,893966882,51.747,14,
30/Apr/1998:22:08:03,893966883,98.331,15,
30/Apr/1998:22:08:04,893966884,43.851,16,
30/Apr/1998:22:08:05,893966885,100.804,13,
30/Apr/1998:22:08:06,893966886,56.233,20,
30/Apr/1998:22:08:07,893966887,34.329,15,
30/Apr/1998:22:08:08,893966888,25.772,10,
30/Apr/1998:22:08:09,893966889,102.111,15,
30/Apr/1998:22:08:10,893966890,16.126,20,
30/Apr/1998:22:08:11,893966891,23.702,9,
30/Apr/1998:22:08:12,893966892,52.913,11,
30/Apr/1998:22:08:13,893966893,63.883,5,
30/Apr/1998:22:08:14,893966894,87.173,14,
30/Apr/1998:22:08:15,893966895,37.702,7,
30/Apr/1998:22:08:16,893966896,43.562,9,
30/Apr/1998:22:08:17,893966897,37.873,9,
30/Apr/1998:22:08:18,893966898,37.188,13,
30/Apr/1998:22:08:19,893966899,3.688,7,
30/Apr/1998:22:08:20,893966900,3.969,5,
30/Apr/1998:22:08:21,893966901,11.879,10,
30/Apr/1998:22:08:22,893966902,1.546,6,
30/Apr/1998:22:08:23,893966903,11.28,11,
30/Apr/1998:22:08:24,893966904,61.449,4,
30/Apr/1998:22:08:25,893966905,4.705,5,
30/Apr/1998:22:08:26,893966906,66.443,16,
30/Apr/1998:22:08:27,893966907,14.759,7,
30/Apr/1998:22:08:28,893966908,67.549,8,
30/Apr/1998:22:08:29,893966909,23.991,8,
30/Apr/1998:22:08:30,893966910,69.953,8,
30/Apr/1998:22:08:31,893966911,10.787,6,
30/Apr/1998:22:08:32,893966912,12.248,6,
30/Apr/1998:22:08:33,893966913,14.098,4,
30/Apr/1998:22:08:34,893966914,44.008,7,
30/Apr/1998:22:08:35,893966915,20.529,12,
30/Apr/1998:22:08:36,893966916,12.183,5,
30/Apr/1998:22:08:37,893966917,36.971,10,
30/Apr/1998:22:08:38,893966918,20.259,7,
30/Apr/1998:22:08:39,893966919,3.92,3,
30/Apr/1998:22:08:40,893966920,37.861,8,
30/Apr/1998:22:08:41,893966921,37.981,10,
30/Apr/1998:22:08:42,893966922,38.526,14,
30/Apr/1998:22:08:43,893966923,18.885,12,
30/Apr/1998:22:08:44,893966924,8.775,7,
30/Apr/1998:22:08:45,893966925,76.784,14,
30/Apr/1998:22:08:46,893966926,13.649,18,
30/Apr/1998:22:08:47,893966927,68.92,19,
30/Apr/1998:22:08:48,893966928,1705.206,16,
30/Apr/1998:22:08:49,893966929,31.136,5,
30/Apr/1998:22:08:50,893966930,17.056,10,
30/Apr/1998:22:08:51,893966931,1.526,3,
30/Apr/1998:22:08:52,893966932,129.006,19,
30/Apr/1998:22:08:53,893966933,88.351,16,
30/Apr/1998:22:08:54,893966934,23.902,11,
30/Apr/1998:22:08:55,893966935,10.183,13,
